book_id,similar_book_id,similarity_score,rank
54,27,0.4257,2
54,52,0.3656,3
54,28,0.3647,4
54,25,0.3625,5
54,29,0.0934,6
54,77,0.0934,7
54,46,0.0611,8
54,57,0.0592,9
54,8,0.0576,10
55,56,0.4302,1
55,57,0.3667,2
55,22,0.248,3
55,62,0.1167,4
55,37,0.1,5
55,38,0.1,6
55,39,0.1,7
55,40,0.1,8
55,61,0.1,9
55,63,0.1,10
56,55,0.4302,1
56,57,0.3647,2
56,62,0.1147,3
56,23,0.1039,4
56,37,0.1,5
56,38,0.1,6
56,39,0.1,7
56,40,0.1,8
56,61,0.1,9
56,63,0.1,10
57,55,0.3667,1
57,56,0.3647,2
57,62,0.1147,3
57,37,0.1,4
57,38,0.1,5
57,39,0.1,6
57,40,0.1,7
57,61,0.1,8
57,63,0.1,9
57,66,0.1,10
58,59,0.4302,1
58,23,0.4233,2
58,60,0.3692,3
58,24,0.3679,4
58,22,0.3656,5
58,81,0.3656,6
58,21,0.3647,7
58,26,0.3647,8
58,32,0.1637,9
58,82,0.1111,10
59,24,0.448,1
59,58,0.4302,2
59,60,0.3667,3
59,22,0.3639,4
59,23,0.3639,5
59,81,0.3639,6
59,21,0.3632,7
59,26,0.3632,8
59,32,0.1167,9
59,29,0.1156,10
60,24,0.4329,1
60,58,0.3692,2
60,59,0.3667,3
60,22,0.3656,4
60,23,0.3656,5
60,81,0.3656,6
60,21,0.3647,7
60,26,0.3647,8
60,29,0.1,9
60,30,0.1,10
61,63,0.3895,1
61,62,0.3639,2
61,37,0.1,3
61,38,0.1,4
61,39,0.1,5
61,40,0.1,6
61,55,0.1,7
61,56,0.1,8
61,57,0.1,9
61,66,0.1,10
62,61,0.3639,1
62,63,0.3625,2
62,55,0.1167,3
62,56,0.1147,4
62,57,0.1147,5
62,37,0.1,6
62,38,0.1,7
62,39,0.1,8
62,40,0.1,9
62,66,0.1,10
63,61,0.3895,1
63,62,0.3625,2
63,37,0.1,3
63,38,0.1,4
63,39,0.1,5
63,40,0.1,6
63,55,0.1,7
63,56,0.1,8
63,57,0.1,9
63,66,0.1,10
64,18,0.4521,1
64,20,0.448,2
64,65,0.3857,3
64,17,0.3667,4
64,19,0.3647,5
64,33,0.2247,6
64,2,0.1646,7
64,3,0.0934,8
64,16,0.0611,9
64,45,0.0601,10
65,18,0.4521,1
65,19,0.4257,2
65,64,0.3857,3
65,20,0.3833,4
65,17,0.3667,5
65,33,0.1627,6
66,67,0.3895,1
66,37,0.1,2
66,38,0.1,3
66,39,0.1,4
66,40,0.1,5
66,55,0.1,6
66,56,0.1,7
66,57,0.1,8
66,61,0.1,9
66,62,0.1,10
67,66,0.3895,1
67,13,0.2625,2
67,14,0.2069,3
67,32,0.1101,4
67,58,0.1101,5
67,23,0.1032,6
67,37,0.1,7
67,38,0.1,8
67,39,0.1,9
67,40,0.1,10
68,11,0.4444,1
68,10,0.3812,2
68,9,0.3656,3
68,12,0.3647,4
68,79,0.15,5
68,5,0.1294,6
68,35,0.0708,7
68,75,0.0708,8
68,70,0.0592,9
68,78,0.0592,10
69,70,0.4386,1
69,5,0.4361,2
69,7,0.3794,3
69,6,0.375,4
69,8,0.375,5
69,44,0.0611,6
69,52,0.0583,7
69,10,0.0576,8
69,53,0.0576,9
69,78,0.0576,10
70,5,0.5654,1
70,69,0.4386,2
70,6,0.4222,3
70,7,0.3833,4
70,8,0.3778,5
70,44,0.109,6
70,21,0.0722,7
70,55,0.0611,8
70,10,0.0592,9
70,68,0.0592,10
71,43,0.5,1
71,44,0.4413,2
71,41,0.4302,3
71,42,0.3833,4
71,72,0.3639,5
71,13,0.1,6
71,14,0.1,7
71,15,0.1,8
71,16,0.1,9
71,81,0.0576,10
72,43,0.3833,1
72,41,0.3679,2
72,42,0.3667,3
72,44,0.3647,4
72,71,0.3639,5
72,13,0.1739,6
72,14,0.1139,7
72,15,0.1,8
72,16,0.1,9
72,45,0.0925,10
73,74,0.4222,1
73,75,0.4194,2
73,40,0.2861,3
73,38,0.2263,4
73,37,0.1583,5
73,39,0.1,6
73,55,0.1,7
73,56,0.1,8
73,57,0.1,9
73,61,0.1,10
74,73,0.4222,1
74,75,0.3619,2
74,39,0.2313,3
74,37,0.1583,4
74,82,0.1583,5
74,38,0.1569,6
74,35,0.125,7
74,40,0.1,8
74,55,0.1,9
74,56,0.1,10
75,73,0.4194,1
75,74,0.3619,2
75,35,0.2357,3
75,39,0.2132,4
75,79,0.1708,5
75,37,0.1569,6
75,38,0.1558,7
75,81,0.1063,8
75,40,0.1,9
75,55,0.1,10
76,31,0.6123,1
76,77,0.3679,2
76,30,0.3656,3
76,27,0.2881,4
76,21,0.1,5
76,22,0.1,6
76,23,0.1,7
76,24,0.1,8
76,26,0.1,9
76,29,0.1,10
77,31,0.4302,1
77,76,0.3679,2
77,30,0.3647,3
77,29,0.1611,4
77,27,0.1111,5
77,40,0.1083,6
77,21,0.1,7
77,22,0.1,8
77,23,0.1,9
77,24,0.1,10
78,34,0.5393,1
78,35,0.4361,2
78,36,0.4339,3
78,79,0.3812,4
78,33,0.3778,5
78,46,0.1167,6
78,25,0.096,7
78,52,0.0934,8
78,53,0.0925,9
78,68,0.0592,10
79,35,0.4533,1
79,36,0.3895,2
79,78,0.3812,3
79,34,0.3794,4
79,33,0.3778,5
